feature,importance
log_followers,0.15860115755605111
#followers,0.15666181117641745
#posts,0.11062837559103006
log_posts,0.10765914041422961
nums/length username,0.07706421070709918
profile_completeness,0.07067175283584637
following_ratio,0.050282297086105
posts_per_following,0.046504068592650605
follower_ratio,0.04428263729327179
very_sparse_profile,0.033716228296474
profile pic,0.026264776502499892
description length,0.024843690474537453
engagement_rate,0.01730038091127741
#follows,0.017138899931915814
has_bio,0.016751088253242008
has_posts,0.01375413075703158
log_follows,0.01331674883685842
fullname words,0.009627303209059173
nums/length fullname,0.0018774002789753502
private,0.001692423297535946
external URL,0.0013614779978918018
suspicious_username,0.0
name==username,0.0
